Vineyard Name,Vineyard County,Vineyard Postcode,Vineyard Country,Website Address,Ha of planted vines,Latitude,Longitude,,,,,,,,,,,,
Bardsley Farms Vineyard,Kent,TN12 0RW,England,www.bardsley-england.com,6.8828,51.19248,0.55382,,,,,,,,,,,,
Barebones Vineyard,Somerset,TA10 9DN,England,Not Available,1.21,51.06952,-2.81753,,,,,,,,,,,,
Barlavington Vineyard,West Sussex,GU28 0LF,England,Not Available,5,50.94122,-0.6292,,,,,,,,,,,,
Barnsole Vineyard,Kent,CT3 1LG,England,www.barnsole.co.uk,2.3,51.26369,1.2665,,,,,,,,,,,,
Barons Place Vineyard,Kent,ME18 5NF,England,www.hughlowefarms.com,3.582,51.26289,0.37139,,,,,,,,,,,,
Bartley Mill Vineyard,Kent,TN3 8BH,England,Not Available,2.0235,51.09462,0.33237,,,,,,,,,,,,
Bath Sparkling Wine (Corston Fields),BANES,BA2 9EZ,England,www.bathsparklingwine.co.uk,Not known,51.38194,-2.46861,,,,,,,,,,,,
Baynhams Vineyard,Herefordshire,HR9 7RF,England,Not Available,0.4,51.9676,-2.51786,,,,,,,,,,,,
Beacon Down Vineyard,East Sussex,TN21 0QJ,England,www.beacondown.co.uk,2.5,50.96377,0.21498,,,,,,,,,,,,
Bearley Vineyard,Warwickshire,CV37 0SR,England,www.bearleyvineyard.co.uk,0.4394,52.24323,-1.74098,,,,,,,,,,,,
Beaulieu Vineyard,Hampshire,SO42 7ZN,England,www.beaulieu.co.uk,1,50.82303,-1.45362,,,,,,,,,,,,
Bee Tree Vineyard,East Sussex,RH17 7QS,England,www.vine-works.com,1.56,50.95991,-0.07021,,,,,,,,,,,,
Beeches Vineyard,Herefordshire,HR9 7UD,England,www.beechesvineyard.com,0.3035,51.94127,-2.52094,,,,,,,,,,,,
Beechtree Vineyard,Herefordshire,HR9 6BW,England,Not Available,0.1,51.84871,-2.64889,,,,,,,,,,,,
Beenleigh Manor Vineyard,Devon,TQ9 7EF,England,Not Available,0.13,50.39742,-3.6934,,,,,,,,,,,,
Belvoir Castle Vineyard,Leicestershire,NG32 1PE,England,Not Available,2.03,52.89469,-0.78261,,,,,,,,,,,,
Bewl Water Vineyard,East Sussex,TN5 6EX,England,Not Available,2.6135,51.07251,0.36744,,,,,,,,,,,,
Biddenden Vineyard,Kent,TN27 8DF,England,www.biddendenvineyards.com,8,51.09539,0.64,,,,,,,,,,,,
Biffo Vineyard,East Sussex,Not known,England,Not Available,0.1,50.958633,0.677956,,,,,,,,,,,,
Billings Group,Kent,DA3 8PJ,England,Not Available,9.9,51.36987,0.25349,,,,,,,,,,,,
Birchenwood Vineyard,Hampshire,SO43 7JA,England,www.birchenwood.com,2,50.92258,-1.59844,,,,,,,,,,,,
Birlingham Vineyard,Worcestershire,WR10 3AF,England,Not Available,0.19,52.08215,-2.09009,,,,,,,,,,,,
Bivelham Vineyard,East Sussex,TN19 7JN,England,Not Available,0.1688,51.01207,0.34077,,,,,,,,,,,,
Blabers Hall,Warwickshire,CV7 8EP,England,facebook.com/blabersHallWineEstate,0.1,52.47874,-1.6273,,,,,,,,,,,,
Black Chalk Wines (Cottonworth Vyd),Hampshire,SP11 7JX,England,www.blackchalkwine.co.uk,12.21,51.15583,-1.45824,,,,,,,,,,,,
Black Dog Hill Vineyard,East Sussex,BN6 8XG,England,www.blackdoghillvineyard.com,6.4751,50.90767,-0.10111,,,,,,,,,,,,
Black Mountain Vineyard,Herefordshire,HR2 0RE,England,blackmountainvineyard.co.uk,1.8,52.01961,-2.95855,,,,,,,,,,,,
Blackbarn Farm Vineyard,Essex,CM3 6HF,England,Not Available,0.607,51.65597,0.74394,,,,,,,,,,,,
Blackboys Vineyard (Tickerage Wines),East Sussex,TN22 5LT,England,www.sussexsparklingwines.com,2.12,50.96561,0.16074,,,,,,,,,,,,
Blackdown Ridge Estate,West Sussex,GU27 3BT,England,www.blackdownridge.co.uk,4.5,51.04872,-0.6875,,,,,,,,,,,,
Bluebell Vineyard Estates,East Sussex,TN22 3RU,England,www.bluebellvineyard.co.uk,24.3521,51.01149,-0.0013,,,,,,,,,,,,
Bluestone Vineyards,Wiltshire,SP4 0EW,England,www.bluestonevineyards.co.uk,3.96,51.18026,-1.70172,,,,,,,,,,,,
Bolney Wine Estate,West Sussex,RH17 5NB,England,www.bolneywineestate.com,16.8,50.99386,-0.21116,,,,,,,,,,,,
Bolney Wine Estate - Pookchurch Vineyard,East Sussex,RH17 5JB,England,www.pookchurch.co.uk,26.22,51.00781,-0.16617,,,,,,,,,,,,
Bolton Castle Vineyard,North Yorkshire,DL8 4ET,England,www.boltoncastle.co.uk,0.2,54.32262,-1.94765,,,,,,,,,,,,
Bosue Vineyard,Cornwall,PL26 6EU,England,www.bosuevineyard.co.uk,1.5,50.29528,-4.8352,,,,,,,,,,,,
Bothy Vineyard,Oxfordshire,OX13 6QW,England,www.bothyvineyard.co.uk,2.0243,51.68542,-1.34689,,,,,,,,,,,,
Bow-in-the-Cloud Vineyard,Wiltshire,SN16 9NS,England,www.bowinthecloud.co.uk,1.24,51.59472,-2.06013,,,,,,,,,,,,
Brabourne Vineyard (Court Lodge Farm),Kent,TN25 5LR,England,www.brabournewine.com,0.8,51.13616,1.00534,,,,,,,,,,,,
Bradfields Vineyard,Somerset,TA4 1HR,England,Not Available,0.1,51.00762,-3.18899,,,,,,,,,,,,
Breaky Bottom Vineyard,East Sussex,BN7 3EX,England,www.breakybottom.co.uk,2.4282,50.84012,0.0026,,,,,,,,,,,,
Bredon Hill Estate Vineyard,Worcestershire,WR10 3DN,England,Not Available,1.4642,52.06627,-2.08066,,,,,,,,,,,,
Bredon Vineyard,Worcestershire,GL20 7ER,England,Not Available,0.067,52.03844,-2.09127,,,,,,,,,,,,
Breezy Ridge Vineyard,Dorset,SP7 0LX,England,facebook.com/Breezyridgevineyard,1.6187,50.98011,-2.191,,,,,,,,,,,,
Brenley Vineyard,Kent,ME13 9LY,England,www.brenley-farm.co.uk,24.1516,51.29152,0.92072,,,,,,,,,,,,
Bretts Hall Vineyard (Butterfield - Tudwick),Essex,CO16 0BJ,England,Not Available,3.125,51.86936,1.10356,,,,,,,,,,,,
Brick House Vineyard,Devon,EX6 8HP,England,www.brickhousevineyard.co.uk,0.6552,50.61879,-3.50266,,,,,,,,,,,,
Bride Valley Vineyard,Dorset,DT2 9AW,England,www.bridevalleyvineyard.com,10,50.71302,-2.63853,,,,,,,,,,,,
Bridewell Organic Gardens,Oxfordshire,OX7 3EB,England,www.bridewellorganicgardens.co.uk,0.93,51.83639,-1.46206,,,,,,,,,,,,
Brightwell Vineyard,Oxfordshire,OX10 8LJ,England,www.brightwellvineyard.co.uk,5.76,51.62052,-1.12839,,,,,,,,,,,,
Brigstock Vineyard,Northamptonshire,NN14 3ET,England,Not Available,0.2,52.45841,-0.61219,,,,,,,,,,,,
Brindiwell Vineyard,Devon,EX17 4HR,England,Not Available,2.2,50.85737,-3.57439,,,,,,,,,,,,
Brinsbury College Vineyard,West Sussex,RH20 1DL,England,Not Available,1.2,50.99021,-0.48039,,,,,,,,,,,,
Brissenden Vineyard,Kent,ME17 3DU,England,www.brissendenvineyard.com,2.651,51.19927,0.62083,,,,,,,,,,,,
Brixworth Vineyard,Northamptonshire,LE16 8JT,England,Not Available,6.7013,52.42556,-0.89037,,,,,,,,,,,,
Broadfield Court Vineyard,Herefordshire,HR1 3LG,England,www.broadfieldcourt.com,5.4656,52.17756,-2.67228,,,,,,,,,,,,
Brockbury Hall Vineyard,Herefordshire,WR13 6EH,England,Not Available,0.1,52.07431,-2.36639,,,,,,,,,,,,
Bromley Brook Vineyard,Essex,CO7 7TN,England,Not Available,2.2627,51.90632,1.00118,,,,,,,,,,,,
Bromley Brook Vineyard (The Hollies),Essex,CO7 7TN,England,Not Available,0.4,51.90632,1.00118,,,,,,,,,,,,
Brook Hill Vineyard,Hampshire,SO43 7SB,England,facebook.com/BrookHillWine,1.05,50.928254,-1.615827,,,,,,,,,,,,
Brook House Farm Vineyard,Herefordshire,HR7 4LB,England,Not Available,0.12,52.16657,-2.48739,,,,,,,,,,,,
Broxbournebury Vineyard,Hertfordshire,EN11 8LS,England,www.broxbournebury.co.uk,1.6,51.75335,-0.03629,,,,,,,,,,,,
Brynne Vineyard,Northamptonshire,NN6 9UY,England,www.brynnevineyard.com,1.25,52.32519,-0.89707,,,,,,,,,,,,
Buckley Vineyard,Devon,EX10 0SL,England,Not Available,0.108,50.7195,-3.21678,,,,,,,,,,,,
Buckswood School Vineyard,East Sussex,TN35 4LT,England,www.buckswood.co.uk,0.35,50.90562,0.63293,,,,,,,,,,,,
Budds Farm Vineyard,Kent,TN30 7EL,England,Not Available,1.82,51.00945,0.7139,,,,,,,,,,,,
Bugsell Park Vineyard,East Sussex,TN32 5EN,England,Not Available,0.26,50.99001,0.45798,,,,,,,,,,,,
Burn Valley Vineyard,Norfolk,NR21 9LE,England,www.burnvalleyvineyard.co.uk,3.736,52.91873,0.75043,,,,,,,,,,,,
Burnt Foot Vineyard,Suffolk,IP13 8HA,England,Not Available,0.66,52.30099,1.3731,,,,,,,,,,,,
"Burons, Les Vineyard",Jersey,JE3 6UR,Channel Isles,Not Available,0.0525,49.218161,2.038942,,,,,,,,,,,,
Burrow Cross Vineyard,Devon,EX11 1PZ,England,Not Available,0.7644,50.7355,-3.26193,,,,,,,,,,,,
Burwash Weald Vineyard,East Sussex,TN19 7LA,England,Not Available,1.255,50.98495,0.35347,,,,,,,,,,,,
Busi-Jacobsohn Wine Estate,East Sussex,TN3 9HX,England,www.busijacobsohn.com,4.1863,51.07259,0.22431,,,,,,,,,,,,
Buzzard's Valley Vineyard,Staffordshire,B78 3EQ,England,www.buzzards-valley.co.uk,2.67,52.59548,-1.76631,,,,,,,,,,,,
Caesar's Camp Vineyard,Bedfordshire,SG19 2AD,England,Not Available,0.1,52.12752,-0.2772,,,,,,,,,,,,
Calancombe Vineyard,Devon,PL21 0TU,England,www.calancombe-estate.com,7.66,50.36658,-3.85786,,,,,,,,,,,,
Calleva Wine,Hampshire,RG7 2PS,England,Not Available,2.4,51.34371,-1.10466,,,,,,,,,,,,
Cambas Vineyard (West End Farm Vineyard),Suffolk,IP14 2NF,England,Not Available,8.888,52.16182,0.97228,,,,,,,,,,,,
Camel Valley Vineyard,Cornwall,PL30 5LG,England,www.camelvalley.com,6.71,50.47645,-4.77553,,,,,,,,,,,,
Carden Park Vineyard,Cheshire,CH3 9DQ,England,www.cardenpark.co.uk,1.2,53.074,-2.80733,,,,,,,,,,,,
Carey Valley Wines (Uphill Vineyard),Devon,EX21 5EN,England,www.careyvalleywines.co.uk,0.46,50.73888,-4.28145,,,,,,,,,,,,
Carlton Towers Walled Garden Vineyard,East Yorkshire,DN14 9LZ,England,www.carltontowers.co.uk,0.6,53.70791,-1.02041,,,,,,,,,,,,
Carr Taylor Vineyard,East Sussex,TN35 4SG,England,www.carr-taylor.co.uk,15.65,50.91372,0.56332,,,,,,,,,,,,
Casterbridge Vineyard,Dorset,DT2 9PR,England,Not Available,0.5,50.69948,-2.45135,,,,,,,,,,,,
Castle Brook Vineyard,Herefordshire,HR9 5SG,England,www.castlebrookvineyard.co.uk,1.8,51.89206,-2.56818,,,,,,,,,,,,
Castlewood Vineyard,Devon,EX13 8SS,England,www.castlewoodvineyard.co.uk,1.01,50.73896,-3.03422,,,,,,,,,,,,
Celtic Marches ,Herefordshire,WR6 5BS,England,Not Available,0.6,52.1418,-2.50211,,,,,,,,,,,,
Chafor Wine Estate - High Hedges Vyd,Buckinghamshire,MK18 4HT,England,www.chafor.co.uk,2.98,51.98427,-1.0199,,,,,,,,,,,,
Chafor Wine Estate - Manor Fields Vineyard,Buckinghamshire,HP22 4NR,England,www.chafor.co.uk,0.8907,51.8574,-0.81789,,,,,,,,,,,,
Chaldean Estate Vineyard,Hertfordshire,SG11 2AH,England,www.chaldean.co.uk,4.05,51.87597,0.06289,,,,,,,,,,,,
Chalksole Estate Vineyard,Kent,CT15 7EE,England,Not Available,2.1342,51.14239,1.21583,,,,,,,,,,,,
Champion Court Farm Vineyard,Kent,ME9 0JX,England,Not Available,6.07,51.28784,0.80189,,,,,,,,,,,,
Chapel Down Wines - Boarley Farm Vineyard,Kent,ME14 3BS,England,www.chapeldown.com,63.8,51.30416,0.52419,,,,,,,,,,,,
Chapel Down Wines - Bokes Farm Vineyard,Kent,TN18 4XJ,England,www.chapeldown.com,21,51.04605,0.47473,,,,,,,,,,,,
Chapel Down Wines - Court Lodge Vineyard,Kent,ME14 3DX,England,www.chapeldown.com,43,51.30084,0.54436,,,,,,,,,,,,
Chapel Down Wines - Kit's Coty Vineyard,Kent,ME20 7EF,England,www.chapeldown.com,40,51.31807,0.50774,,,,,,,,,,,,
Chapel Down Wines - Scurms Farm Vineyard,Kent,TN18 5PR,England,www.chapeldown.com,14.569,51.0242,0.58182,,,,,,,,,,,,
Chapel Down Wines - Street Farm Vineyard,Kent,ME14 3DR,England,www.chapeldown.com,30,51.30158,0.54221,,,,,,,,,,,,
Chapel Down Wines - Tenterden Vineyard,Kent,TN30 7NG,England,www.chapeldown.com,7.4,51.0396,0.69846,,,,,,,,,,,,
Chapel Field Vineyard - Railway Vineyard,Norfolk,NR18 9JN,England,Not Available,2.834,52.53982,1.0848,,,,,,,,,,,,
Charity Farm Vineyard,Essex,CM3 8RT,England,Not Available,Not known,51.66913,0.61692,,,,,,,,,,,,
Charles Palmer Vineyard,East Sussex,TN36 4AD,England,www.charlespalmer-vineyards.co.uk,12.5,50.92107,0.69444,,,,,,,,,,,,
Charlie Herring Vineyard,Hampshire,SO41 8LH,England,www.charlieherring.com,0.15,50.76453,-1.57679,,,,,,,,,,,,
Chartham Vineyard,Kent,CT4 7HU,England,www.charthamvineyard.co.uk,2.146,51.25745,1.01807,,,,,,,,,,,,
Chase End Vineyard,Gloucestershire,HR8 1RS,England,Not Available,0.5,52.00614,-2.36998,,,,,,,,,,,,
Château Lattey,Worcestershire,WR5 2QE,England,Not Available,0.1873,52.14821,-2.16993,,,,,,,,,,,,
Chedworth Vineyard,Gloucestershire,GL54 4AG,England,Not Available,0.17,51.8073,-1.92334,,,,,,,,,,,,
Cheniston Vineyard,West Sussex,RH17 5AS,England,Not Available,6.22,50.99588,-0.16403,,,,,,,,,,,,
Chet and Waveney Valley Vineyard,Norfolk,NR15 1BT,England,www.chetvineyard.co.uk,8,52.54538,1.42474,,,,,,,,,,,,
Chevel Estate,Leicestershire,LE17 6DX,England,Not Available,0.53,52.43337,-1.10296,,,,,,,,,,,,
Chilcomb Valley Vineyard,Hampshire,SO21 1HR,England,Not Available,2.1,51.05226,-1.27663,,,,,,,,,,,,
Chilford Hall Vineyard,Cambridgeshire,CB21 4LE,England,www.chilfordhall.co.uk,7.4,52.10807,0.29561,,,,,,,,,,,,
Chiltern Valley Vineyard (Old Luxters),Oxfordshire,RG9 6JW,England,www.chilternvalley.co.uk,1,51.59501,-0.89216,,,,,,,,,,,,
Chilworth Manor Vineyard,Surrey,GU4 8NN,England,chilworthmanorvineyard.com,2.8288,51.21886,-0.53321,,,,,,,,,,,,
Chingley Oast Vineyard,East Sussex,TN5 7QA,England,Not Available,0.8093,51.07659,0.41879,,,,,,,,,,,,
Chinthurst Hill Vineyard,Surrey,GU5 0QH,England,www.chinthurst.com,0.4,51.20117,-0.55438,,,,,,,,,,,,
Claydon Vineyard,Buckinghamshire,MK18 2NG,England,Not Available,0.0547,51.91466,-0.937,,,,,,,,,,,,
Clayhill Vineyard,Essex,CM3 6HF,England,www.clayhillvineyard.co.uk,4,51.65597,0.74394,,,,,,,,,,,,
Claylands Allotments Vineyard,Nottinghamshire,S81 7BG,England,Not Available,0.09,53.31849,-1.13197,,,,,,,,,,,,
Clayton Hills Vineyard,East Sussex,TN20 6RE,England,www.claytonorganicfarm.com,4.665,51.00734,0.25869,,,,,,,,,,,,
Clearview Vineyard,Herefordshire,HR1 4QA,England,Not Available,0.11,52.00958,-2.60053,,,,,,,,,,,,
Clee Hills Vineyard,Shropshire,SY7 9DT,England,Not Available,0.2,52.45542,-2.64175,,,,,,,,,,,,
Clocktower Vineyard,London,TW7 6DW,England,tonyhibbett.blogspot.co.uk,0.03,51.46741,-0.3318,,,,,,,,,,,,
Coach House Vineyard (Hampshire),Hampshire,SO51 6BW,England,Not Available,0.4,50.97083,-1.59273,,,,,,,,,,,,
"Coach House Vineyard, The",Herefordshire,HR9 7LN,England,Not Available,0.22,51.89369,-2.47899,,,,,,,,,,,,
Coates & Seely - Wooldings Vineyard,Hampshire,RG28 7QT,England,www.coatesandseely.com,12,51.24931,-1.31013,,,,,,,,,,,,
Cobland Mill Estate,Cornwall,PL11 3DY,England,Not Available,0.25,50.36785,-4.33265,,,,,,,,,,,,
Coddington Vineyard,Herefordshire,HR8 1JJ,England,www.coddingtonvineyard.co.uk,0.6,52.08124,-2.41162,,,,,,,,,,,,
Colehurst Vineyard,Shropshire,TF9 2JB,England,Not Available,0.53,52.87696,-2.50434,,,,,,,,,,,,
Colemere Vineyard,Shropshire,SY12 0LQ,England,www.colemere.co.uk,0.96,52.89521,-2.83147,,,,,,,,,,,,
Combe Hay Vineyard,Somerset,BA2 7EG,England,www.combehayvineyard.co.uk,0.4,51.3379,-2.3834,,,,,,,,,,,,
Commonwood Vineyard,Shropshire,SY4 5SJ,England,Not Available,0.6,52.84723,-2.75983,,,,,,,,,,,,
Compton Combe Vineyard,East Sussex,BN20 8DA,England,www.bobsbuzz.com,0.1,50.76717,0.2551,,,,,,,,,,,,
Compton Green Vineyard,Gloucestershire,GL18 1LJ,England,www.comptongreen.co.uk,2.1,51.95072,-2.39601,,,,,,,,,,,,
Congham Vineyard,Norfolk,PE31 6BZ,England,Not Available,0.36,52.79232,0.53098,,,,,,,,,,,,
Conwy Vineyard (Gwinllan Conwy),Conwy,LL31 9JF,Wales,gwinllanconwy.co.uk,0.4,53.28834,-3.77774,,,,,,,,,,,,
Coolhurst Vineyard,West Sussex,RH13 6HY,England,www.coolhurstvineyards.com,4.81,51.04495,-0.29039,,,,,,,,,,,,
Coombe Bottom Farm Vineyard,West Sussex,RH12 4TA,England,Not Available,5,51.07758,-0.2459,,,,,,,,,,,,
Coombe Head Meadow Vineyard,Devon,EX17 5AA,England,www.coombeheadmeadow.co.uk,0.7689,50.76895,-3.79201,,,,,,,,,,,,
Coopers Croft Vineyard,Suffolk,CB8 8UZ,England,cooperscroftvineyard.wordpress.com,0.252,52.17439,0.5755,,,,,,,,,,,,
Copdock Hall Vineyard,Suffolk,IP8 3JZ,England,www.copdockhall.com,0.2,52.03182,1.08727,,,,,,,,,,,,
Corfe Castle Vineyard,Dorset,BH20 5JD,England,Not Available,0.4,50.63293,-2.02322,,,,,,,,,,,,
Corner House Vineyard,Oxfordshire,OX12 8JR,England,Not Available,0.4,51.5981,-1.34008,,,,,,,,,,,,
Corston Field Vineyard,Somerset,Not known,England,Not Available,0.1,51.382041,-2.468432,,,,,,,,,,,,
Cossington Farms Vineyard,Kent,ME20 7DF,England,Not Available,2.01,51.31037,0.49924,,,,,,,,,,,,
Cotswold Hills (Down Ampney Vyd - RAU),Gloucestershire,GL7 5QF,England,www.cotswoldhills.org.uk,2.88,51.67034,-1.88556,,,,,,,,,,,,
Court Garden Vineyard,East Sussex,BN6 8TH,England,www.courtgarden.com,7,50.92787,-0.11568,,,,,,,,,,,,
Court House Wines,Dorset,DT9 6LF,England,Not Available,0.28,50.8955,-2.57891,,,,,,,,,,,,
Crazy Pheasant Vineyard,Dorset,BH23 8EW,England,Not Available,0.4,50.80066,-1.74509,,,,,,,,,,,,
Croft Castle Vineyard,Herefordshire,HR6 9PW,England,www.nationaltrust.org.uk/croft-castle-and-parkland,0.1822,52.28497,-2.80803,,,,,,,,,,,,
Crofta Vineyard,Vale of Glamorgan,CF72 8NE,Wales,www.croffta-wine.co.uk,0.4,51.51974,-3.35633,,,,,,,,,,,,
Cross Stream Point Vineyard,West Sussex,RH12 3HZ,England,Not Available,2.428,51.08525,-0.44805,,,,,,,,,,,,
Crouch Ridge Vineyard,Essex,CM3 6BZ,England,www.crouchridge.com,4,51.65552,0.75811,,,,,,,,,,,,
Crouch Valley Vineyard,Essex,CM3 6HE,England,www.newhallwines.com,10,51.65541,0.73354,,,,,,,,,,,,
Crows Lane Estate,Essex,CM3 6SD,England,Not Available,5.85,51.65982,0.62898,,,,,,,,,,,,
Curload Vineyard,Somerset,TA20 3QG,England,Not Available,0.5,50.92084,-3.06819,,,,,,,,,,,,
Cwm Deri Vineyard,Pembrokeshire,SA67 8AP,Wales,www.cwm-deri.co.uk,1,51.75951,-4.84729,,,,,,,,,,,,
Dadnor Court Vineyard,Herefordshire,HR9 6QL,England,Not Available,0.38,51.93343,-2.62957,,,,,,,,,,,,
Dalrossach Vineyard,Aberdeenshire,AB36 8TP,Scotland,Not Available,0.005,57.2178,-2.98018,,,,,,,,,,,,
Dalwood Vineyard,Devon,EX13 7EH,England,www.dalwoodvineyard.co.uk,1.1,50.80043,-3.06661,,,,,,,,,,,,
Danbury Wine Estates,Essex,CM3 4Pl,England,www.danburywineestate.com,10.2977,51.71835,0.58548,,,,,,,,,,,,
Danebury Vineyards,Hampshire,SO20 6JX,England,www.danebury.com,2.9,51.1294,-1.54279,,,,,,,,,,,,
Daria's Vineyard,County Mayo,F28H393,Ireland,viticultureireland.blogspot.com,0.16,53.81081,-9.526607,,,,,,,,,,,,
Dartmoor Vineyard,Devon,TQ13 9HQ,England,Not Available,0.6,50.59639,-3.67545,,,,,,,,,,,,
Dartmoor Way Vineyard,Devon,TQ13 9TS,England,Not Available,0.4,50.6179,-3.71617,,,,,,,,,,,,
Davenport Vineyard - Horsmonden,Kent,TN12 8EF,England,www.davenportvineyards.co.uk,7.466,51.1292,0.4226,,,,,,,,,,,,
